Submit_date,Call_time,Pick_up,Good_time_for_3min_talk,Day,Job,Submission_ID
2024-03-26 9:54:12,3:30 PM,Yes,No,Tuesday,"Standard 9-5 or similar
12 hour days, VERY busy",5872776525332824771
2024-03-26 9:56:23,4:00 PM,Yes,,Tuesday,Standard 9-5 or similar,5872777835331842170
2024-03-26 9:58:26,4:00 PM,No,,Tuesday,Standard 9-5 or similar,5872779065338176780
2024-03-26 10:09:51,4:00 PM,No,,Tuesday,Standard 9-5 or similar,5872785915335464203
2024-03-26 10:10:09,4:00 PM,No,,Tuesday,,5872786095339270983
2024-03-26 10:10:23,4:00 PM,No,,Tuesday,,5872786235331007385
2024-03-27 6:14:26,12:00 PM,No,,Wednesday,"12 hour days, VERY busy",5873508660145374821
2024-03-27 6:19:53,12:00 PM,Yes,No,Wednesday,Standard 9-5 or similar,5873511930149094086
2024-03-27 6:28:49,12:00 PM,Yes,No,Wednesday,Standard 9-5 or similar,5873517290148373630
2024-03-27 8:57:58,3:00 PM,No,,Tuesday,Standard 9-5 or similar,5873606780144697999
2024-03-28 6:10:29,12:00 PM,No,,Thursday,,5874370297148076574
2024-03-28 6:12:16,12:00 PM,No,,Wednesday,,5874371367149535700
2024-03-28 6:22:55,12:30 PM,Yes,"yeah , i just asked if they had time to chat",Thursday,,5874377757147983529
2024-03-28 6:23:20,12:30 PM,Yes,Yes,Thursday,,5874378007141815021
2024-03-28 6:23:35,12:30 PM,Yes,,Thursday,,5874378157148666296
2024-03-28 6:26:55,12:30 PM,Yes,Yes,Thursday,Standard 9-5 or similar,5874380157144361981
2024-03-29 6:15:52,12:30 PM,Yes,Yes,Thursday,Standard 9-5 or similar,5875237524323969350
2024-03-29 6:16:03,12:00 PM,,No,Friday,,5875237634328379216
2024-03-29 6:25:04,12:30 PM,Yes,,Friday,,5875243044326510809
2024-03-29 6:25:26,12:00 PM,No,,Friday,,5875243264325385243
2024-03-29 6:26:50,12:30 PM,No,,Friday,,5875244104328382531
2024-04-01 6:06:21,1:00 PM,Yes,No,Monday,"12 hour days, VERY busy",5877823819654233556
2024-04-01 6:09:30,1:00 PM,No,,,,5877825709656417312
2024-04-01 6:11:59,1:00 PM,,,Monday,"Standard 9-5 or similar
12 hour days, VERY busy",5877827199658468007
2024-04-02 6:01:43,1:00 PM,Yes,Yes,Tuesday,Standard 9-5 or similar,5878685039657915215
2024-04-02 6:02:52,1:00 PM,No,,Tuesday,"12 hour days, VERY busy",5878685729658381760
2024-04-02 6:04:21,1:00 PM,No,,Tuesday,Standard 9-5 or similar,5878686619651944297
2024-04-02 6:05:37,1:00 PM,Yes,No,Tuesday,"12 hour days, VERY busy",5878687379654859947
2024-04-02 6:13:58,1:00 PM,No,,Tuesday,Standard 9-5 or similar,5878692389657263453
2024-04-02 6:16:21,1:00 PM,No,,Tuesday,Standard 9-5 or similar,5878693819657144277
2024-04-02 6:32:18,1:30 PM,Yes,Yes,Tuesday,"Standard 9-5 or similar
12 hour days, VERY busy",5878703389659920112
2024-04-03 5:52:26,12:30 PM,Yes,No,Wednesday,Standard 9-5 or similar,5879543464613142809
2024-04-03 5:52:59,12:30 PM,Yes,Yes,Wednesday,Standard 9-5 or similar,5879543794617834456
2024-04-03 5:53:22,12:30 PM,No,,Wednesday,,5879544024616846017
2024-04-03 9:19:42,4:00 PM,No,,Wednesday,"Standard 9-5 or similar
12 hour days, VERY busy",5879667824612784848
2024-04-03 9:22:11,4:30 PM,Yes,No,Wednesday,Standard 9-5 or similar,5879669314613710735
2024-04-03 9:27:26,4:30 PM,Yes,Yes,Wednesday,Student,5879672464615081605
2024-04-03 9:28:13,4:30 PM,No,,Wednesday,Standard 9-5 or similar,5879672934614133681
2024-04-03 9:32:07,4:30 PM,Yes,Yes,Wednesday,"Standard 9-5 or similar
12 hour days, VERY busy",5879675274618473460
2024-04-03 10:32:20,5:30 PM,Yes,No,Wednesday,,5879711404615590584
2024-04-04 7:34:33,2.30 PM,No,,Thursday,Standard 9-5 or similar,5880468739972863530
2024-04-04 7:34:48,2.30 PM,Yes,No,Thursday,Standard 9-5 or similar,5880468889973001941
2024-04-04 8:21:02,3:00 PM,No,,Thursday,Standard 9-5 or similar,5880496629979638705
2024-04-04 8:22:54,3:30 PM,No,,Thursday,Standard 9-5 or similar,5880497749978957365
2024-04-04 8:24:46,3:30 PM,Yes,No,Thursday,"Standard 9-5 or similar
student",5880498869974162405
2024-04-04 8:27:04,3:00 PM,Yes,"no, but rescheduled",Thursday,Standard 9-5 or similar,5880500249971452837
2024-04-04 8:54:54,4:00 PM,Yes,Yes,Thursday,"Standard 9-5 or similar
12 hour days, VERY busy",5880516949975236436
2024-04-04 9:14:16,4:00 PM,Yes,Yes,Thursday,Standard 9-5 or similar,5880528569975959476
2024-04-04 9:19:57,4:00 PM,No,No,Wednesday,"12 hour days, VERY busy",5880531979973945014
2024-04-04 9:21:23,4:30 PM,Yes,No,Thursday,Standard 9-5 or similar,5880532839971513534
2024-04-05 5:39:05,12:00 PM,No,,Friday,,5881263455236216795
2024-04-05 5:39:18,12:30 PM,No,,Friday,,5881263585239547019
2024-04-05 5:39:41,12:30 PM,Yes,Yes,Friday,,5881263815232795253
2024-04-05 5:39:59,12:30 PM,Yes,Yes,Friday,,5881263995239290140
2024-04-08 6:16:12,1:00 PM,No,,Monday,,5883877725835373192
2024-04-08 6:16:29,1:00 PM,Yes,No,Monday,,5883877895837371104
2024-04-08 6:16:44,1:00 PM,No,,,,5883878045831873540
2024-04-08 6:21:53,1:30 PM,Yes,No,,"Standard 9-5 or similar
12 hour days, VERY busy",5883881135838513410
2024-04-08 6:27:24,1:00 PM,Yes,Yes,Monday,"12 hour days, VERY busy",5883884445832544927
2024-04-08 7:54:09,3:00 PM,No,No,Monday,Standard 9-5 or similar,5883936495832948968
2024-04-09 7:47:07,1:30 PM,Yes,Yes,Tuesday,,5884796271212189776
2024-04-09 7:47:26,1:30 PM,No,,Tuesday,,5884796461213082330
2024-04-09 7:47:40,1:30 PM,Yes,,Tuesday,,5884796601218454957
2024-04-09 8:02:49,2:00 PM,Yes,Yes,Tuesday,,5884805691211411795
2024-04-09 8:03:01,2:00 PM,Yes,No,Tuesday,,5884805811219224269
2024-04-09 8:08:30,2:00 PM,Yes,No,Tuesday,"Standard 9-5 or similar
12 hour days, VERY busy",5884809101219965265
2024-04-09 8:29:05,3:30 PM,No,,Tuesday,"12 hour days, VERY busy",5884821451216045278
2024-04-09 8:40:00,2.30 PM,No,,Tuesday,Standard 9-5 or similar,5884828001214749837
2024-04-09 8:43:34,3:30 PM,No,,Wednesday,,5884830141219480983
2024-04-09 8:56:57,3:00 PM,No,,Tuesday,"Standard 9-5 or similar
Entrepreneurs, can pick hours",5884838171212436789
2024-04-09 8:57:12,4:00 PM,Yes,,Tuesday,"Standard 9-5 or similar
12 hour days, VERY busy",5884838321214338744
2024-04-10 7:34:01,2.30 PM,Yes,Yes,Wednesday,"Standard 9-5 or similar
12 hour days, VERY busy",5885652410642732739
2024-04-10 7:37:48,2.30 PM,No,,Wednesday,,5885654680644454612
2024-04-10 7:39:05,2.30 PM,No,,Wednesday,,5885655450644191299
2024-04-10 7:56:49,3:00 PM,Yes,Yes,Wednesday,"Entrepreneurs, can pick hours",5885666090643822757
2024-04-10 8:44:39,3:30 PM,Yes,Yes,Wednesday,Standard 9-5 or similar,5885694790646315811
2024-04-10 8:45:38,3:30 PM,Yes,No,,Standard 9-5 or similar,5885695380641581039
2024-04-10 8:51:04,4:00 PM,Yes,No,Wednesday,"Entrepreneurs, can pick hours",5885698640645157662
2024-04-10 8:51:50,4:00 PM,No,,Wednesday,"Standard 9-5 or similar
12 hour days, VERY busy",5885699100648230089
2024-04-10 8:52:39,4:00 PM,No,,Wednesday,,5885699590644144473
2024-04-10 8:55:54,4:00 PM,Yes,No,Wednesday,Standard 9-5 or similar,5885701540647109862
2024-04-10 8:56:05,4:00 PM,No,,Wednesday,,5885701650645443621
2024-04-10 9:55:30,5:00 PM,Yes,Yes,,"Standard 9-5 or similar
Entrepreneurs, can pick hours",5885737300646907827
2024-04-11 6:11:07,1:00 PM,Yes,woke her up,Thursday,"12 hour days, VERY busy",5886466675261926082
2024-04-11 6:39:00,1:30 PM,Yes,No,,Standard 9-5 or similar,5886483405269281329
2024-04-11 6:39:26,1:30 PM,Yes,No,Thursday,Standard 9-5 or similar,5886483665261484593
2024-04-11 6:58:47,2:00 PM,No,,Thursday,"Standard 9-5 or similar
12 hour days, VERY busy",5886495275261102420
2024-04-11 7:07:17,2:00 PM,No,,Thursday,Standard 9-5 or similar,5886500375263852332
2024-04-11 7:07:33,2:00 PM,No,,Thursday,Standard 9-5 or similar,5886500535269950045
